id,hypothesis_category,text,expected_label,rationale,predicted_label,predicted_probability,correct
1,negation,The latest update did not improve battery life at all.,negative,Tests whether the model picks up the negation cue or just the trigger word 'improve',negative,0.8561087250709534,True
2,lexical_trigger,This app is no longer reliable on my phone.,negative,Strong positive cue 'reliable' negated by 'no longer'; tests cue-vs-context handling,negative,0.9489898085594177,True
3,domain_shift,The team won the championship final last weekend.,neutral,Sports content unrelated to app-review training; tests domain-shift robustness,neutral,0.40024620294570923,True
4,negation,The latest update did not fix any of the crashes I was experiencing.,negative,Tests whether negation of a fix-verb overrides positive cue 'fix'; hypothesis: model latches onto 'fix' and predicts positive.,neutral,0.4426591694355011,False
5,negation,This app is not as slow as people say but it is not fast either.,neutral,Double negation with no clear polarity; tests if model handles compounded negations or defaults to one sentiment.,neutral,0.8047090768814087,True
6,negation,I can't say I'm impressed by the new radar feature at all.,negative,Indirect negation via 'can't say impressed'; hypothesis: model may treat 'impressed' as a positive trigger.,neutral,0.48126065731048584,False
7,negation,The whitelist option does not prevent my tree from dying when I get a call.,negative,Functional negation embedded in an app-specific complaint; tests negation inside a longer clause.,neutral,0.7950757145881653,False
8,negation,Never thought an app would make me less productive but here we are.,negative,Negation of expectation combined with implicit negative outcome; tests irony-adjacent negation.,positive,0.623790442943573,False
9,lexical_trigger,The app is reliable only until the first crash which happens daily.,negative,'Reliable' is a strong positive trigger but immediately qualified by a negative clause; tests if model overweights the trigger word.,neutral,0.6922171711921692,False
10,lexical_trigger,Great idea terrible execution the tree dies for every notification.,negative,'Great' and 'terrible' appear in the same sentence; tests whether the first strong positive token anchors the prediction.,negative,0.9473718404769897,True
11,lexical_trigger,I love how this app drains my battery and crashes twice a day.,negative,'Love' used sarcastically before explicitly negative content; tests whether the positive cue word dominates.,positive,0.780064582824707,False
12,lexical_trigger,Outstanding customer support they replied telling me the bug is by design.,negative,'Outstanding' is an extreme positive cue; the rest of the sentence reveals an unsatisfactory outcome; tests cue-vs-context.,positive,0.9246302247047424,False
13,lexical_trigger,The booking was confirmed successfully right before the hotel lost my reservation.,negative,'Confirmed successfully' is a strong positive phrase but the outcome is negative; tests whether the early positive phrase dominates.,negative,0.7027202248573303,True
14,domain_shift,The central bank raised interest rates by 25 basis points this morning.,neutral,Financial news sentence with no app-review vocabulary; tests whether the model defaults to neutral for out-of-domain text.,negative,0.595209538936615,False
15,domain_shift,Midfielder scores late winner to send the team through to the final.,neutral,Sports news sentence with positive framing; tests whether 'winner' triggers positive despite no app context.,neutral,0.666368305683136,True
16,domain_shift,Simmer the sauce on low heat for 20 minutes stirring occasionally.,neutral,Recipe instruction that is purely procedural with no sentiment cues; tests domain-shift robustness.,neutral,0.5220912098884583,True
17,domain_shift,The defendant was found not guilty on all counts after a three-week trial.,neutral,Legal news with mixed polarity words; 'not guilty' and 'trial' carry no app-review sentiment.,negative,0.7763990163803101,False
18,domain_shift,Rainfall totals for the month were 40 percent above the seasonal average.,neutral,Weather statistics sentence with no evaluative language; tests the model on purely factual non-app prose.,neutral,0.6432693600654602,True
19,length_extreme,Crashes constantly.,negative,3-word extreme-short review; hypothesis: the model may lack enough tokens to classify reliably.,negative,0.9063388109207153,True
20,length_extreme,Works perfectly fine.,positive,3-word extreme-short positive; tests whether brevity causes misclassification to neutral.,positive,0.8927544355392456,True
21,length_extreme,Okay I guess.,neutral,3-word hedged short review with very little signal; tests the minimum-token boundary.,neutral,0.6174242496490479,True
22,length_extreme,I have been using this app every single day for the past eight months and while I genuinely appreciate the core idea of helping me stay focused by growing a virtual tree I find that the whitelist system is completely unreliable the tree dies when I receive a phone call even though I never leave the app and the developer has not responded to my bug reports despite three separate emails over two months so I am left with an app I want to love but simply cannot trust.,negative,Long complex sentence mixing strong positive framing with sustained negative detail; tests whether the model can track overall polarity across a long span.,neutral,0.6305769085884094,False
23,length_extreme,After updating to the latest version I noticed that the radar animation now works again which is great the interface feels snappier the notifications are more timely and the app no longer crashes when I switch between the hourly and weekly view so overall this update has genuinely addressed all of the issues I had been experiencing and I would happily recommend it to anyone looking for a reliable weather app.,positive,Long all-positive update review; tests whether long sequences cause drift toward neutral.,positive,0.7050718069076538,True
24,length_extreme,The app has some good features and also some bad features and sometimes it works and sometimes it does not and I am not really sure how I feel about it overall because on some days it is useful and on other days it is not and I have been going back and forth for a while now.,neutral,Long deliberately balanced wishy-washy sentence; tests whether length pushes the model off neutral.,neutral,0.7854927778244019,True
25,sarcasm,Oh brilliant the update removed the only feature I actually used.,negative,Surface form is positive with 'brilliant' but intent is clearly sarcastic and negative; hypothesis: model may predict positive.,positive,0.8057746291160583,False
26,sarcasm,What a great idea to make users pay a subscription just to remove ads from a free app.,negative,'Great idea' is sarcastic; a complaint follows; tests whether sarcasm cue phrases fool the classifier.,neutral,0.48518016934394836,False
27,sarcasm,Five stars for charging me twice for the same booking truly exceptional service.,negative,Explicit five-star reference and 'exceptional' are maximally positive signals but the sarcastic context is negative; tests strong-trigger override.,positive,0.7532184720039368,False
28,sarcasm,I love having to re-enter all my preferences every time there is an update very convenient.,negative,Two sarcastic phrases bookend a complaint; tests whether the model catches accumulating sarcasm.,positive,0.9251879453659058,False
